Event,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Det_level
BLAN00320160428,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,Homidia sinensis,Species
BLAN00320160623,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,Homidia sinensis,Species
BLAN00320160623,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Velarifictorus,Velarifictorus micado,Species
BLAN00320160929,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Erebidae,Erebinae,Caenurgina,Caenurgina crassiuscula,Species
BLAN00320160929,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Velarifictorus,Velarifictorus micado,Species
BLAN00320160929,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
BLAN00320160929,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,Homidia sinensis,Species
BLAN00320160929,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Eunemobius,Eunemobius carolinus,Species
BLAN00320160929,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Polydesmida,Paradoxosomatidea,NULL,NULL,Paradoxosomatidae,NULL,Oxidus,Oxidus gracilis,Species
BLAN00320160929,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Pirata,Pirata alachuus,Species
BLAN00320160929,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Araneoidea,Linyphiidae,NULL,Agyneta,Agyneta micaria,Species
CLBJ03220160525,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
CLBJ03220160525,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CLBJ03220160525,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Araneoidea,Linyphiidae,NULL,Erigone,Erigone autumnalis,Species
CLBJ03220160525,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Aedes,Aedes vexans,Species
CLBJ03220160525,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneuroptera,Blattodea,NULL,NULL,Blattoidea,Ectobiidae,Blattellinae,Parcoblatta,Parcoblatta pensylvanica,Species
CLBJ03220160525,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
CLBJ03220160720,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CLBJ03220160720,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
CLBJ03220160720,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
CLBJ03220160720,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Pardosa,Pardosa alacris,Species
CLBJ03220160720,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneuroptera,Blattodea,NULL,NULL,Blattoidea,Ectobiidae,Blattellinae,Parcoblatta,indet.,Genus
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
CLBJ03220160914,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Pardosa,Pardosa alacris,Species
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneuroptera,Blattodea,NULL,NULL,Blattoidea,Ectobiidae,Blattellinae,Parcoblatta,Parcoblatta pensylvanica,Species
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,Tenebrioninae,Eleodes,Eleodes extricatus,Species
CPER00220160714,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CPER00220160714,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Aedes,Aedes vexans,Species
CPER00220160714,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Culex,Culex salinarius,Species
CPER00220160714,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Schizocosa,Schizocosa ocreata,Species
CPER00220160714,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
CPER00520160505,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,indet.,indet.,indet.,Family
CPER00520160505,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CPER00520160714,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,Tenebrioninae,Eleodes,Eleodes fusiformis,Species
CPER00520160714,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CPER00520160714,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Corinnidae,NULL,Castianeira,Castianeira walsinghami,Species
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
CPER00520160922,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Corinnidae,NULL,Castianeira,Castianeira walsinghami,Species
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,Tenebrioninae,Eleodes,Eleodes fusiformis,Species
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Aedes,Aedes vexans,Species
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus rubens,Species
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,indet.,indet.,indet.,Family
CPER00520160922,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Amaurobiidae,NULL,Callobius,Callobius nomeus,Species
DEJU00320160720,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,NULL,Fannia,Fannia spathiophora,Species
DEJU00320160720,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Gustavioidea,Ceratoppiidae,NULL,Ceratoppia,Ceratoppia quadridentata,Species
DEJU00320160817,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Pardosa,Pardosa moesta,Species
DEJU00320160817,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,NULL,Dichopygina,Dichopygina bernhardi,Species
DEJU00320160817,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Dictynoidea,Hahniidae,NULL,Hahnia,Hahnia glacialis,Species
