"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Arachnida","Chelicerata","Arthropoda"
"Acmaeoderopsis","Acmaeoderopsis","Polycestinae","Buprestidae","Buprestoidea","Elateriformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Acrididae","Acrididae","Acrididae","Acrididae","Acridooidea","Acrididea","Caelifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Aeolus","Aeolus","Agrypninae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Alydidae","Alydidae","Alydidae","Alydidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Alydinae","Alydinae","Alydinae","Alydidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Amblypigi","Amblypigi","Amblypigi","Amblypigi","Amblypigi","Amblypigi","Amblypigi","Amblypigi","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Ammophila","Ammophila","Ammophilinae","Sphecidae","Apoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida"
"Anochetus","Anochetus","Ponerinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Aphaenogaster","Aphaenogaster","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Araneae","Araneae","Araneae","Araneae","Araneae","Araneae","Araneae","Araneae","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Asilidae","Asilidae","Asilidae","Asilidae","Asiloidea","Muscomorpha","Brachycera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Auchenorrhyncha","Auchenorrhyncha","Auchenorrhyncha","Auchenorrhyncha","Auchenorrhyncha","Auchenorrhyncha","Auchenorrhyncha","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Berytidae","Berytidae","Berytidae","Berytidae","Lygaeoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Blattodea","Blattodea","Blattodea","Blattodea","Blattodea","Blattodea","Blattodea","Blattodea","Polyneuroptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Blattoidea","Blattoidea","Blattoidea","Blattoidea","Blattoidea","Blattodea","Blattodea","Blattodea","Polyneuroptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Brachymyrmex","Brachymyrmex","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Camponotus","Camponotus","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Canthon","Canthon","Scarabaeinae","Scarabaeidae","Scarabaeoidea","Scarabeiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Canthon cyanellus","Canthon","Scarabaeinae","Scarabaeidae","Scarabaeoidea","Scarabeiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Canthon viridis","Canthon","Scarabaeinae","Scarabaeidae","Scarabaeoidea","Scarabeiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Centruroides vittatus","Centruroides","Buthidae","Buthidae","Buthoidea","Scorpiones","Scorpiones","Scorpiones","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Cerambycidae","Cerambycidae","Cerambycidae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Ceuthophilus","Ceuthophilus","Ceuthophilinae","Rhaphidophoridae","Stenopelmatoidea","Tettigoniidea","Ensifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Chilopoda","Myriapoda","Arthropoda"
"Cicadellidae","Cicadellidae","Cicadellidae","Cicadellidae","Membracoidea","Cicadomorpha","Auchenorrhyncha","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Cicadomorpha","Cicadomorpha","Cicadomorpha","Cicadomorpha","Cicadomorpha","Cicadomorpha","Auchenorrhyncha","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Coleoptera","Coleoptera","Coleoptera","Coleoptera","Coleoptera","Coleoptera","Coleoptera","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Collembola","Hexapoda","Arthropoda"
"Coreidae","Coreidae","Coreidae","Coreidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Crematogaster","Crematogaster","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Culicomorpha","Culicomorpha","Culicomorpha","Culicomorpha","Culicomorpha","Culicomorpha","Nematocera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Curculionidae","Curculionidae","Curculionidae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Deroceras","Deroceras","Limacidae","Limacidae","Limacoidea","Stylommatophora","Stylommatophora","Stylommatophora","Eupulmonata","Heterobranchia","Gastropoda","Mollusca","Mollusca"
"Deroceras laeve","Deroceras","Limacidae","Limacidae","Limacoidea","Stylommatophora","Stylommatophora","Stylommatophora","Eupulmonata","Heterobranchia","Gastropoda","Mollusca","Mollusca"
"Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Diplopoda","Myriapoda","Arthropoda"
"Diptera","Diptera","Diptera","Diptera","Diptera","Diptera","Diptera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Dorymyrmex","Dorymyrmex","Dolichoderinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Drosophilidae","Drosophilidae","Drosophilidae","Drosophilidae","Ephydroidea","Muscomorpha","Brachycera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
