"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"BLAN00320160428","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"BLAN00320160623","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"BLAN00320160623","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Velarifictorus","Velarifictorus micado","Species","Velarifictorus micado","Orthoptera","Arthropoda_Insecta_Orthoptera"
"BLAN00320160929","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Erebidae","Erebinae","Caenurgina","Caenurgina crassiuscula","Species","Caenurgina crassiuscula","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"BLAN00320160929","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Velarifictorus","Velarifictorus micado","Species","Velarifictorus micado","Orthoptera","Arthropoda_Insecta_Orthoptera"
"BLAN00320160929","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"BLAN00320160929","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"BLAN00320160929","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Eunemobius","Eunemobius carolinus","Species","Eunemobius carolinus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"BLAN00320160929","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Polydesmida","Paradoxosomatidea","NULL","NULL","Paradoxosomatidae","NULL","Oxidus","Oxidus gracilis","Species","Oxidus gracilis","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"BLAN00320160929","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"BLAN00320160929","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","NULL","Agyneta","Agyneta micaria","Species","Agyneta micaria","Araneae","Arthropoda_Arachnida_Araneae"
"CLBJ03220160525","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160525","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160525","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","NULL","Erigone","Erigone autumnalis","Species","Erigone autumnalis","Araneae","Arthropoda_Arachnida_Araneae"
"CLBJ03220160525","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Aedes","Aedes vexans","Species","Aedes vexans","Diptera","Arthropoda_Insecta_Diptera"
"CLBJ03220160525","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"CLBJ03220160525","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160720","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160720","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160720","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"CLBJ03220160720","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pardosa","Pardosa alacris","Species","Pardosa alacris","Araneae","Arthropoda_Arachnida_Araneae"
"CLBJ03220160720","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","indet.","Genus","Parcoblatta","Blattodea","Arthropoda_Insecta_Blattodea"
"CLBJ03220160914","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
