event,Annelida_Annelida_Annelida,Arthropoda_Arachnida_Acari,Arthropoda_Arachnida_Araneae,Arthropoda_Arachnida_Opilioacarida,Arthropoda_Arachnida_Opiliones,Arthropoda_Collembola_Collembola,Arthropoda_Insecta_Blattodea,Arthropoda_Insecta_Coleoptera,Arthropoda_Insecta_Diptera,Arthropoda_Insecta_Hemiptera,Arthropoda_Insecta_Hymenoptera,Arthropoda_Insecta_Lepidoptera,Arthropoda_Insecta_Orthoptera,Arthropoda_Insecta_Zygentoma,Arthropoda_Malacostraca_Isopoda,Arthropoda_Myriapoda_Myriapoda,Mollusca_Gastropoda_Gastropoda
BLAN00120160428,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
BLAN00320160428,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
BLAN00320160623,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
BLAN00320160929,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1
CLBJ03220160525,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
CLBJ03220160720,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
CLBJ03220160914,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
CLBJ04220160525,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
CLBJ04220160720,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0
CLBJ04220160914,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0
CPER00220160714,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0
CPER00520160505,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
CPER00520160714,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
CPER00520160922,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
DEJU00320160720,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
DEJU00320160817,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
DEJU00320160831,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
DEJU02120160720,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
DEJU02120160817,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
DEJU02120160831,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
DELA00620160426,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
DELA00620160705,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1
DELA00620160913,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
DELA01420160426,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
DELA01420160705,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
DELA01420160913,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0
GUAN00820160502,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
GUAN00820160725,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
GUAN00820161003,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1
GUAN00920160502,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1
HEAL01020160907,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
HEAL02620160615,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
HEAL02620160727,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
HEAL02620160907,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
JORN00220160419,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
JORN00220160712,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
JORN01020160419,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
JORN01020160712,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
JORN01020161004,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0
KONZ00720160614,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
KONZ00720160906,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
KONZ02520160405,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0
KONZ02520160614,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1
KONZ02520160906,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1
LAJA00120160503,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
LAJA00120161004,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
LAJA01520160503,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
LAJA01520160712,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
LAJA01520161004,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1
LENO00220160601,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1
LENO00220160810,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
LENO00220161005,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
LENO00320160601,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
LENO00320160810,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0
LENO00320161005,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1
MOAB00320160419,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
MOAB00320160712,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0
MOAB00320161004,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
MOAB00420160419,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0
MOAB00420160712,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
MOAB00420161004,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0
NIWO00220160628,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0
NIWO00220160809,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0
NIWO00220160906,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
NIWO00320160628,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
NIWO00320160726,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0
NIWO00320160906,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
NOGP00520160524,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
NOGP00520160719,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0
NOGP00520160913,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0
NOGP00920160524,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
NOGP00920160719,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
NOGP00920160913,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0
OAES00520160406,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
OAES00520160629,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1
OAES00720160406,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
OAES00720160907,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
ONAQ00220160426,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
ONAQ00220160705,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
ONAQ00220160913,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
ONAQ02320160426,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
ONAQ02320160705,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
